"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
0,"Katarina Prskalo",1,4,2,3,1,0,1,0,0,0,2,0.500,2,0,0,0,0,3,0,0,0,0,1.250,0.750,0.750,0.500,1.250,0.463,1.000,0.500,0,0,0,0,0,1,1,1.000,50.0,50.0,50.0
0,"Lorena Puskaric",1,4,2,2,1,0,1,0,0,0,1,0.500,2,0,1,1,0,1,0,0,0,0,0.750,0.750,0.750,0.500,1.250,0.463,0.500,0.250,0,0,0,0,0,2,1,0.500,75.0,75.0,75.0
0,"Tihana Zupanic",1,4,3,2,2,0,0,2,0,0,2,0.667,1,0,0,0,0,0,0,0,0,0,1.000,0.750,0.750,1.333,2.083,0.671,1.000,0.750,0,0,0,0,0,2,1,0.500,75.0,75.0,50.0
0,"Lorena Orescanin",1,4,1,1,0,0,0,0,0,0,1,0.000,1,0,0,0,1,1,0,0,1,1,0.500,0.500,0.500,0.000,0.500,0.225,1.000,0.250,0,0,0,0,0,0,0,0.000,25.0,25.0,25.0
0,"Paula Duvnjak",1,4,4,1,3,0,2,1,0,0,3,0.750,0,0,0,0,0,0,0,0,0,0,1.000,0.750,0.750,1.000,1.750,0.588,1.000,1.000,0,0,0,0,0,3,2,0.667,75.0,75.0,50.0
0,"Petra Cizmic",1,2,0,2,0,0,0,0,0,0,0,0.000,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
0,"Dora Krznaric",1,3,1,2,1,0,1,0,0,0,0,1.000,1,0,0,0,1,0,0,0,0,0,0.667,1.000,1.000,1.000,2.000,0.700,1.000,0.333,0,0,0,0,0,0,0,0.000,33.3,33.3,33.3
0,"Ema Ziger",1,3,3,1,1,0,1,0,0,0,1,0.333,0,0,1,1,0,0,0,0,0,0,0.667,0.333,0.333,0.333,0.667,0.233,0.667,0.667,0,0,0,0,0,3,1,0.333,33.3,33.3,33.3
0,"Iva Seric",1,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
0,"Mia Pavlicevic",1,3,3,0,1,0,1,0,0,0,1,0.333,0,2,0,2,0,0,0,0,0,0,0.333,0.333,0.333,0.333,0.667,0.233,0.333,0.333,0,0,0,0,0,2,1,0.500,33.3,33.3,33.3
0,"Mia Zivkovic",1,1,0,0,0,0,0,0,0,0,0,0.000,1,0,0,0,0,0,0,0,0,0,0.000,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
"","TOTALS",1,32,19,14,10,0,7,3,0,0,11,0.526,10,2,2,4,2,5,0,0,1,1,0.781,0.688,0.688,0.684,1.372,0.480,0.789,0.469,0,0,0,0,0,13,7,0.538,46.9,46.9,40.6
