"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
0," Eleonora Toth",1,3,2,0,1,0,1,0,0,0,0,0.500,0,0,0,0,1,1,0,0,0,0,0.000,0.667,0.667,0.500,1.167,0.425,1.000,0.667,0,1,0,0,0,1,0,0.000,33.3,33.3,0.0
0," Kamilla Bognar",1,3,3,1,0,0,0,0,0,0,1,0.000,0,0,0,0,0,0,0,0,0,0,0.667,0.000,0.333,0.000,0.000,0.000,1.000,1.000,1,1,0,0,0,2,0,0.000,33.3,33.3,33.3
0," Jacqueline Kusterer",1,3,3,1,1,0,1,0,0,0,0,0.333,0,0,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.333,0.667,0.233,1.000,1.000,0,0,0,0,0,1,0,0.000,66.7,66.7,33.3
0," Eva Papacsek",1,2,1,0,1,0,1,0,0,0,1,1.000,1,0,0,0,0,1,0,0,0,0,0.500,1.000,1.000,1.000,2.000,0.700,1.000,0.500,0,0,0,0,0,1,1,1.000,50.0,50.0,50.0
0," E Fodor",1,2,1,0,0,0,0,0,0,0,0,0.000,1,0,1,1,0,0,0,0,0,0,0.000,0.500,0.500,0.000,0.500,0.225,0.000,0.000,0,0,0,0,0,0,0,0.000,50.0,50.0,50.0
0," Agnes Demian",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
0,"Emese Demian",1,2,1,0,0,0,0,0,0,0,0,0.000,1,0,0,0,0,0,0,0,0,0,0.000,0.500,0.500,0.000,0.500,0.225,1.000,0.500,0,0,0,0,0,0,0,0.000,50.0,50.0,50.0
0," Anna Czirjak",1,2,2,1,0,0,0,0,0,0,0,0.000,0,1,1,2,0,0,0,0,0,0,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,50.0,50.0,50.0
0," F Kelemen",1,2,1,0,0,0,0,0,0,0,0,0.000,1,1,0,1,0,0,0,0,0,0,0.000,0.500,0.500,0.000,0.500,0.225,0.000,0.000,0,0,0,0,0,0,0,0.000,50.0,50.0,50.0
"","TOTALS",1,21,16,3,3,0,3,0,0,0,2,0.188,4,2,2,4,1,3,0,0,0,0,0.238,0.381,0.429,0.188,0.568,0.218,0.750,0.571,1,2,0,0,0,6,1,0.167,42.9,42.9,33.3
