"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
0," Eleonora Toth",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
0," Kamilla Bognar",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
0," Jacqueline Kusterer",1,0,0,0,5,0,5,0,0,0,0,0,0,1.000
0," Eva Papacsek",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
0," E Fodor",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
0," Agnes Demian",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
0," Emese Demian",1,0,1,1,1,1,0,0,0,0,0,0,0,0.667
0," Anna Czirjak",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
0," F Kelemen",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
"","TOTALS",1,0,1,1,11,1,5,0,0,0,0,0,0,0.923
